BehaviorClass,ClassOrder,R1,G1,B1,Behavior,BehaviorOrder,R2,G2,B2
class_head_cleaning,1,1,0,1,head_cleaning,1,1,0,1
class_head_cleaning,1,1,0,1,antennal_cleaning,2,0.678431373,0,0.737254902
class_head_cleaning,1,1,0,1,proboscis_cleaning,3,0.556862745,0,1
class_head_cleaning,1,1,0,1,top_eye,4,0.3922,0.5608,1
class_head_cleaning,1,1,0,1,eye,5,0.8627,0.149,0.498
class_head_cleaning,1,1,0,1,ventral_head,6,1,0.6902,0
class_ventral_head,2,1,0.6902,0,ventral_head,7,1,0.6902,0
class_ventral_head,2,1,0.6902,0,proboscis_cleaning,8,0.556862745,0,1
class_front_leg_rubbing,3,1,0,0,front_leg_rubbing,9,1,0,0
class_front_leg_rubbing,3,1,0,0,b_1st_and_2nd_leg_rub,10,0.97254902,0.368627451,0.380392157
class_front_leg_rubbing,3,1,0,0,front_proximal_leg_rub,11,0.839215686,0.129411765,0.149019608
class_wing_cleaning,4,0,1,1,wing_cleaning,12,0,1,1
class_wing_cleaning,4,0,1,1,ventral_wing,13,0.184313725,0.949019608,0.82745098
class_wing_cleaning,4,0,1,1,wing_blade,14,0.549019608,0.91372549,0.807843137
class_wing_cleaning,4,0,1,1,wing_hinge_slash_haltere,15,0,0.745098039,0.737254902
class_back_leg_rubbing,5,0.188235294,0.8,0.266666667,back_leg_rubbing,16,0.188235294,0.8,0.266666667
class_back_leg_rubbing,5,0.188235294,0.8,0.266666667,proximal_leg_rub,17,0.458823529,1,0.431372549
class_back_leg_rubbing,5,0.188235294,0.8,0.266666667,b_2nd_and_3rd_leg_rub,18,0.078431373,1,0.039215686
class_abdominal_cleaning,6,0.764705882,0.890196078,0,abdominal_cleaning,19,0.764705882,0.890196078,0
class_abdominal_cleaning,6,0.764705882,0.890196078,0,genital_cleaning,20,0.650980392,0.721568627,0
class_other,7,0.5,0.5,0.5,ventral_front_cleaning,21,0.976470588,0.482352941,1
class_other,7,0.5,0.5,0.5,grooming_attempt,22,0.294117647,0,0
class_other,7,0.5,0.5,0.5,first_leg_notum,23,0.490196078,0,0
class_other,7,0.5,0.5,0.5,ventral_back_cleaning,24,0.741176471,0.823529412,0.411764706
class_other,7,0.5,0.5,0.5,back_leg_grooming_attempt,25,0,0.294117647,0
class_other,7,0.5,0.5,0.5,standing_still,26,0.933333333,0.933333333,0.933333333
class_other,7,0.5,0.5,0.5,on_back,27,0.501960784,0.501960784,0.501960784
class_other,7,0.5,0.5,0.5,slip_slash_jump,28,0,0,0
class_other,7,0.5,0.5,0.5,ventral_middle,29,0,0,1
class_other,7,0.5,0.5,0.5,nodding,30,0.498,0.498,0.498
class_other,7,0.5,0.5,0.5,walking,31,0,0,1
class_other,7,0.5,0.5,0.5,backing_up,32,0,0,0
class_stim,8,1,0.5,0.5,stimulus ON,33,1,0.5,0.5